City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,san borja,-14.8167,-66.85,28.24,72,95,1.67,BO,1679325220
336,oktyabrskoye,43.0645,44.7417,9.08,93,100,3.0,RU,1679325220
337,denpasar,-8.65,115.2167,27.81,88,20,1.54,ID,1679325035
338,skelleftea,64.7507,20.9528,4.2,45,0,5.66,SE,1679325221
339,biak,-0.9131,122.8766,25.07,86,100,0.53,ID,1679325221
340,lubbock,33.6001,-101.8338,6.88,67,40,7.72,US,1679325037
341,hamilton,39.1834,-84.5333,4.22,52,0,4.63,US,1679324964
342,marrakesh,31.6315,-8.0083,25.04,20,0,2.57,MA,1679325167
343,ligayan,4.6533,119.4706,27.97,73,85,0.43,PH,1679325222
344,illela,13.7292,5.2975,35.22,25,90,6.89,NG,1679325222
345,jalu,29.0331,21.5482,25.15,18,2,3.37,LY,1679325222
346,aldan,58.6031,125.3894,-13.98,97,100,2.41,RU,1679325222
347,nishihara,26.1842,127.7558,21.03,86,40,6.69,JP,1679325223
348,chumikan,54.7183,135.315,-5.7,98,82,0.38,RU,1679325223
349,tibiao,11.2915,122.0354,24.82,66,1,2.71,PH,1679325223
350,rodino,52.5,80.25,-11.76,89,100,2.97,RU,1679325224
351,kaitangata,-46.2817,169.8464,10.82,95,100,11.69,NZ,1679325224
352,gwadar,25.1216,62.3254,24.82,64,0,1.84,PK,1679325224
353,nelson bay,-32.7167,152.15,22.27,75,100,4.92,AU,1679325225
354,susangerd,31.5608,48.1831,23.1,26,0,2.88,IR,1679325225
355,gomel,52.4345,30.9754,10.99,40,0,2.0,BY,1679325061
356,san juan,-31.5375,-68.5364,22.83,60,94,2.39,AR,1679325000
357,zhoucun,36.8167,117.8167,11.59,42,98,2.66,CN,1679325225
358,paracuru,-3.41,-39.0306,26.17,82,100,1.97,BR,1679325226
359,adana,36.985,35.2881,18.29,63,75,5.66,TR,1679324801
360,mga,59.75,31.0667,8.96,97,100,3.34,RU,1679325226
361,kathmandu,27.7167,85.3167,13.12,89,75,2.06,NP,1679324996
362,privolzhskiy,51.4,46.0333,9.61,47,43,2.8,RU,1679325226
363,magadan,59.5667,150.8,-15.23,80,98,2.83,RU,1679325227
364,hay river,60.8156,-115.7999,-13.19,97,99,3.0,CA,1679325147
365,broken hill,-31.95,141.4333,21.63,27,74,8.67,AU,1679325227
366,abnub,27.2696,31.1511,22.35,24,0,6.76,EG,1679325227
367,sao jose da coroa grande,-8.8978,-35.1478,28.18,70,59,2.95,BR,1679325227
368,sao gabriel da cachoeira,-0.1303,-67.0892,31.53,54,93,1.57,BR,1679325228
369,havelock,34.8791,-76.9013,7.97,60,100,7.72,US,1679325228
370,griffith,41.5284,-87.4237,4.59,50,0,8.23,US,1679325228
371,cacoal,-11.4386,-61.4472,22.63,98,100,2.63,BR,1679325229
372,vestmannaeyjar,63.4427,-20.2734,0.55,74,75,15.43,IS,1679325229
373,sitka,57.0531,-135.33,2.94,93,100,0.0,US,1679325229
374,tuni,17.35,82.55,25.07,81,23,1.49,IN,1679325229
375,codrington,-38.2667,141.9667,12.14,79,100,3.44,AU,1679325230
376,taltal,-25.4,-70.4833,22.81,71,7,2.49,CL,1679325230
377,sibu,2.3,111.8167,22.71,97,100,1.22,MY,1679325230
378,ippy,6.2679,21.2247,26.45,57,84,2.31,CF,1679325230
379,belle fourche,44.6714,-103.8522,4.13,77,65,4.32,US,1679325231
380,den helder,52.9599,4.7593,8.9,99,100,7.6,NL,1679324997
381,catuday,16.2923,119.8062,24.57,75,84,2.3,PH,1679325231
382,perth,-31.9333,115.8333,30.0,29,0,9.77,AU,1679325231
383,sabang,5.8933,95.3214,28.06,75,97,5.47,ID,1679325231
384,saint-louis,16.3333,-15.0,38.08,9,0,5.29,SN,1679325232
385,tefe,-3.3542,-64.7114,31.06,66,0,1.54,BR,1679325233
386,serrana,-21.2114,-47.5956,29.97,58,56,0.67,BR,1679325233
387,bulata,9.8599,122.4016,25.66,82,54,6.18,PH,1679325234
388,middleton,53.55,-2.2,16.06,82,100,2.97,GB,1679325205
389,tijara,27.9333,76.85,16.48,88,100,2.22,IN,1679325235
390,victor harbor,-35.5667,138.6167,17.04,72,100,4.21,AU,1679325235
391,punta de bombon,-17.1717,-71.7931,24.23,79,55,2.64,PE,1679325235
392,sydney mines,46.2367,-60.2177,1.14,53,21,8.05,CA,1679325236
393,puerto del rosario,28.5004,-13.8627,21.86,60,20,7.72,ES,1679325237
394,atasu,48.6814,71.6433,-11.95,81,13,4.48,KZ,1679324970
395,rio brilhante,-21.8019,-54.5464,26.06,80,2,2.99,BR,1679325237
396,port-gentil,-0.7193,8.7815,31.98,62,20,4.12,GA,1679325239
397,mandalgovi,45.7625,106.2708,2.13,58,100,2.3,MN,1679325239
398,bjornevatn,69.6672,29.9847,-1.81,80,75,8.75,NO,1679325239
399,cap malheureux,-19.9842,57.6142,27.48,77,13,0.45,MU,1679325240
400,stokmarknes,68.5646,14.9108,0.99,86,75,6.17,NO,1679325240
401,pattoki,31.0167,73.85,21.78,48,73,5.17,PK,1679325240
402,sao filipe,14.8961,-24.4956,22.84,77,8,3.29,CV,1679325241
403,pietarsaari,63.65,22.6833,2.78,58,100,0.89,FI,1679325241
404,kigoma,-4.8769,29.6267,25.06,71,100,1.06,TZ,1679325241
405,kahului,20.8947,-156.47,24.36,88,0,1.34,US,1679325143
406,hays,30.0502,-98.0336,9.49,71,100,2.24,US,1679325242
407,roald,62.5833,6.1333,7.51,81,75,2.57,NO,1679325243
408,moose factory,51.2585,-80.6094,-16.01,85,100,4.12,CA,1679325243
409,tommot,58.9564,126.2925,-13.46,96,100,1.83,RU,1679325244
410,barinas,8.6226,-70.2075,32.75,27,70,4.07,VE,1679325244
411,kavieng,-2.5744,150.7967,27.46,71,97,3.64,PG,1679325245
412,roma,43.2128,-75.4557,3.71,51,0,4.63,US,1679325244
413,caldono,2.7974,-76.4832,20.58,68,91,1.68,CO,1679325245
414,antigonish,45.6169,-61.9986,1.19,48,2,4.92,CA,1679325246
415,carupano,10.6678,-63.2585,27.2,67,85,6.9,VE,1679325246
416,adrar,20.5022,-10.0711,31.49,10,0,2.54,MR,1679325247
417,bay roberts,47.5999,-53.2648,1.85,70,99,9.39,CA,1679325247
418,dubai,25.2582,55.3047,27.96,28,0,4.12,AE,1679325073
419,baglung,28.2719,83.5898,13.52,94,100,0.52,NP,1679325248
420,suleja,9.1758,7.1808,31.96,38,93,3.44,NG,1679325248
421,usinsk,65.9939,57.5281,-3.87,93,98,6.6,RU,1679325249
422,norden,53.6,7.2,8.33,96,100,0.45,DE,1679325250
423,tucuman,-26.8241,-65.2226,32.0,51,20,3.09,AR,1679325250
424,cuamba,-14.8031,36.5372,24.27,91,100,1.21,MZ,1679325250
425,ciudad bolivar,8.1222,-63.5497,31.84,39,25,4.97,VE,1679325251
426,podgorenskiy,50.405,39.6429,8.07,80,92,1.05,RU,1679325251
427,rio grande,-32.035,-52.0986,25.06,66,30,4.77,BR,1679325252
